ticker,weight,level,rep
MMM,0.02,L0,0
AMZN,0.03,L0,0
AXP,0.025,L0,0
AMGN,0.035,L0,0
AAPL,0.045,L0,0
BA,0.01,L0,0
CAT,0.02,L0,0
CVX,0.035,L0,0
CSCO,0.03,L0,0
KO,0.045,L0,0
DOW,0.015,L0,0
GS,0.02,L0,0
HD,0.035,L0,0
HON,0.025,L0,0
IBM,0.025,L0,0
INTC,0.015,L0,0
JNJ,0.055,L0,0
JPM,0.03,L0,0
MCD,0.04,L0,0
MRK,0.045,L0,0
MSFT,0.05,L0,0
NKE,0.02,L0,0
PG,0.055,L0,0
CRM,0.02,L0,0
TRV,0.025,L0,0
UNH,0.05,L0,0
VZ,0.035,L0,0
V,0.035,L0,0
WMT,0.045,L0,0
DIS,0.015,L0,0
MMM,0.0,L1,0
AMZN,0.06,L1,0
AXP,0.02,L1,0
AMGN,0.05,L1,0
AAPL,0.07,L1,0
BA,0.0,L1,0
CAT,0.015,L1,0
CVX,0.015,L1,0
CSCO,0.025,L1,0
KO,0.045,L1,0
DOW,0.0,L1,0
GS,0.0,L1,0
HD,0.03,L1,0
HON,0.01,L1,0
IBM,0.015,L1,0
INTC,0.0,L1,0
JNJ,0.06,L1,0
JPM,0.015,L1,0
MCD,0.04,L1,0
MRK,0.07,L1,0
MSFT,0.09,L1,0
NKE,0.0,L1,0
PG,0.07,L1,0
CRM,0.025,L1,0
TRV,0.03,L1,0
UNH,0.055,L1,0
VZ,0.0,L1,0
V,0.05,L1,0
WMT,0.08,L1,0
DIS,0.0,L1,0
MMM,0.0,L2,0
AMZN,0.078,L2,0
AXP,0.0,L2,0
AMGN,0.06,L2,0
AAPL,0.11,L2,0
BA,0.0,L2,0
CAT,0.0,L2,0
CVX,0.0,L2,0
CSCO,0.0,L2,0
KO,0.0,L2,0
DOW,0.0,L2,0
GS,0.0,L2,0
HD,0.0,L2,0
HON,0.0,L2,0
IBM,0.0,L2,0
INTC,0.0,L2,0
JNJ,0.0,L2,0
JPM,0.0,L2,0
MCD,0.0,L2,0
MRK,0.18,L2,0
MSFT,0.17,L2,0
NKE,0.0,L2,0
PG,0.14,L2,0
CRM,0.0,L2,0
TRV,0.0,L2,0
UNH,0.09,L2,0
VZ,0.0,L2,0
V,0.072,L2,0
WMT,0.1,L2,0
DIS,0.0,L2,0
MMM,0.0,L3,0
AMZN,0.078,L3,0
AXP,0.033,L3,0
AMGN,0.048,L3,0
AAPL,0.11,L3,0
BA,0.0,L3,0
CAT,0.02,L3,0
CVX,0.0,L3,0
CSCO,0.0,L3,0
KO,0.0,L3,0
DOW,0.0,L3,0
GS,0.0,L3,0
HD,0.018,L3,0
HON,0.0,L3,0
IBM,0.0,L3,0
INTC,0.0,L3,0
JNJ,0.0,L3,0
JPM,0.0,L3,0
MCD,0.0,L3,0
MRK,0.15,L3,0
MSFT,0.14,L3,0
NKE,0.0,L3,0
PG,0.095,L3,0
CRM,0.055,L3,0
TRV,0.0,L3,0
UNH,0.07,L3,0
VZ,0.0,L3,0
V,0.058,L3,0
WMT,0.125,L3,0
DIS,0.0,L3,0
MMM,0.02,L0,1
AMZN,0.03,L0,1
AXP,0.025,L0,1
AMGN,0.04,L0,1
AAPL,0.045,L0,1
BA,0.01,L0,1
CAT,0.02,L0,1
CVX,0.035,L0,1
CSCO,0.035,L0,1
KO,0.045,L0,1
DOW,0.015,L0,1
GS,0.02,L0,1
HD,0.035,L0,1
HON,0.025,L0,1
IBM,0.03,L0,1
INTC,0.02,L0,1
JNJ,0.055,L0,1
JPM,0.03,L0,1
MCD,0.04,L0,1
MRK,0.045,L0,1
MSFT,0.05,L0,1
NKE,0.02,L0,1
PG,0.055,L0,1
CRM,0.02,L0,1
TRV,0.03,L0,1
UNH,0.05,L0,1
VZ,0.04,L0,1
V,0.04,L0,1
WMT,0.05,L0,1
DIS,0.015,L0,1
MMM,0.0,L1,1
AMZN,0.06,L1,1
AXP,0.02,L1,1
AMGN,0.06,L1,1
AAPL,0.07,L1,1
BA,0.0,L1,1
CAT,0.01,L1,1
CVX,0.015,L1,1
CSCO,0.025,L1,1
KO,0.055,L1,1
DOW,0.0,L1,1
GS,0.0,L1,1
HD,0.025,L1,1
HON,0.01,L1,1
IBM,0.015,L1,1
INTC,0.0,L1,1
JNJ,0.08,L1,1
JPM,0.015,L1,1
MCD,0.055,L1,1
MRK,0.08,L1,1
MSFT,0.09,L1,1
NKE,0.0,L1,1
PG,0.08,L1,1
CRM,0.02,L1,1
TRV,0.04,L1,1
UNH,0.055,L1,1
VZ,0.0,L1,1
V,0.045,L1,1
WMT,0.08,L1,1
DIS,0.0,L1,1
MMM,0.0,L2,1
AMZN,0.073,L2,1
AXP,0.0,L2,1
AMGN,0.06,L2,1
AAPL,0.09,L2,1
BA,0.0,L2,1
CAT,0.0,L2,1
CVX,0.0,L2,1
CSCO,0.0,L2,1
KO,0.0,L2,1
DOW,0.0,L2,1
GS,0.0,L2,1
HD,0.0,L2,1
HON,0.0,L2,1
IBM,0.0,L2,1
INTC,0.0,L2,1
JNJ,0.0,L2,1
JPM,0.0,L2,1
MCD,0.0,L2,1
MRK,0.18,L2,1
MSFT,0.14,L2,1
NKE,0.0,L2,1
PG,0.12,L2,1
CRM,0.0,L2,1
TRV,0.0,L2,1
UNH,0.09,L2,1
VZ,0.0,L2,1
V,0.087,L2,1
WMT,0.16,L2,1
DIS,0.0,L2,1
MMM,0.0,L3,1
AMZN,0.08,L3,1
AXP,0.045,L3,1
AMGN,0.055,L3,1
AAPL,0.105,L3,1
BA,0.0,L3,1
CAT,0.035,L3,1
CVX,0.02,L3,1
CSCO,0.015,L3,1
KO,0.02,L3,1
DOW,0.0,L3,1
GS,0.02,L3,1
HD,0.04,L3,1
HON,0.015,L3,1
IBM,0.0,L3,1
INTC,0.0,L3,1
JNJ,0.015,L3,1
JPM,0.03,L3,1
MCD,0.015,L3,1
MRK,0.08,L3,1
MSFT,0.11,L3,1
NKE,0.0,L3,1
PG,0.055,L3,1
CRM,0.055,L3,1
TRV,0.02,L3,1
UNH,0.06,L3,1
VZ,0.0,L3,1
V,0.05,L3,1
WMT,0.08,L3,1
DIS,0.0,L3,1
MMM,0.02,L0,2
AMZN,0.03,L0,2
AXP,0.025,L0,2
AMGN,0.04,L0,2
AAPL,0.045,L0,2
BA,0.01,L0,2
CAT,0.02,L0,2
CVX,0.035,L0,2
CSCO,0.035,L0,2
KO,0.045,L0,2
DOW,0.015,L0,2
GS,0.02,L0,2
HD,0.035,L0,2
HON,0.025,L0,2
IBM,0.03,L0,2
INTC,0.02,L0,2
JNJ,0.055,L0,2
JPM,0.03,L0,2
MCD,0.045,L0,2
MRK,0.045,L0,2
MSFT,0.055,L0,2
NKE,0.02,L0,2
PG,0.055,L0,2
CRM,0.02,L0,2
TRV,0.025,L0,2
UNH,0.055,L0,2
VZ,0.04,L0,2
V,0.04,L0,2
