,MMM,AMZN,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WMT,DIS
MMM,0.0013378503945800718,0.00044020865473151855,0.0009054756772543551,0.0005250317137944971,0.0006210222170540595,0.0012833679159625557,0.0009816877709967625,0.0006760922027528144,0.0005587634953274597,0.0005713516326985897,0.0009539635125254517,0.0009767450782046157,0.0007564663665011229,0.0008400157359117861,0.0006431849523864651,0.000933495066079488,0.0003825345023939856,0.0008635660347855015,0.0005246083445739351,0.0002647066256806892,0.0004957864560272419,0.0006773508902019299,0.00039414126397357193,0.0006960742821859329,0.0006658405861459153,0.000548380560515395,0.0003456630940852241,0.0006026636269046022,0.0003173223920082927,0.0006120009011464396
AMZN,0.00044020865473151855,0.0019294254696124544,0.0006980974208017748,0.00041344705062083885,0.0008983461134556425,0.0008715053816753559,0.0005274278308367397,0.00022053474015557752,0.0005643200231252001,0.00021347457996931824,0.00045849697151314323,0.0007044833950820752,0.000677283930727107,0.00038473919291468053,0.00043211287985720794,0.000673522614761154,0.00019866421322153373,0.0005053504316132311,0.0003492327505153706,6.862241173628335e-05,0.0009889479647872464,0.0006685518125667721,0.00029118013568071367,0.0013922515905643899,0.0003091250089597681,0.00036765524903741264,0.00013829465549588672,0.0006367618102424019,0.00043314365777275194,0.0007301981344825401
AXP,0.0009054756772543551,0.0006980974208017748,0.0024517660199942074,0.0004800625837593936,0.0008464607243126766,0.002510346682838777,0.001171020467359343,0.0011961186053774876,0.0007829222688873591,0.0008565166399513703,0.0015018836746493326,0.001631952840333917,0.0011068563746024628,0.0013135683382576873,0.0008936223393093798,0.0009161497227148732,0.0004183822548661815,0.0015728681237666769,0.000806829668924659,0.0003097096854955344,0.0007113491085333001,0.001064028700654285,0.0004811911399809333,0.0010515715554489928,0.0011334253177493207,0.0009460064388946337,0.0004480961444321339,0.0012414749789161474,0.00027538041086654465,0.0012391074610843844
AMGN,0.0005250317137944971,0.00041344705062083885,0.0004800625837593936,0.0012123744145469775,0.00044037625163376073,0.0006680492000312509,0.0005298847577707631,0.0004896226397462822,0.0004304975118372436,0.0004040922284880237,0.0004335361209118749,0.000511116327863023,0.0005093289338479689,0.0004952729817442721,0.0004536410448222172,0.0005449128492592954,0.0004907034367090053,0.0003927397821090843,0.0003515246071206603,0.0005494556557002082,0.00040915319536045117,0.00037298698299903114,0.00038522676801545794,0.00046971439679145525,0.00040637192321489965,0.0006542633584763018,0.0003916592165593732,0.00046491280102828976,0.00033062632278488453,0.00036201505158689695
AAPL,0.0006210222170540595,0.0008983461134556425,0.0008464607243126766,0.00044037625163376073,0.0016042831161173197,0.001060725566100897,0.0004717503754525571,0.0004379220682158269,0.0005962712807811842,0.00047016681208019877,0.0004818587194905182,0.0007603305301082215,0.0008381391113812488,0.0006663087134452533,0.0005604411320326333,0.000818846383858262,0.00037968384968578464,0.0005855428978167731,0.0005068313406395783,0.00022316866446566659,0.0009126106033182817,0.0007575932596710639,0.00048467487280417126,0.0010381132686596815,0.00043827028258206267,0.000642047168048774,0.00017796739534386695,0.0007422322811219705,0.0004006431583415075,0.0007160467372021789
BA,0.0012833679159625557,0.0008715053816753559,0.002510346682838777,0.0006680492000312509,0.001060725566100897,0.0058682547716916635,0.001604642504868618,0.001689221844397368,0.0009523583988628405,0.001213591876860637,0.001902552830365419,0.0021092041805081613,0.0016956495590792523,0.0018047819079959834,0.0013919518487882489,0.0015547400951828696,0.0005085671742166495,0.0018798199660078896,0.0011836298500355492,0.0003360608365569901,0.0008710863641162417,0.0017585352625056382,0.0006383119220181688,0.0012691043234235734,0.0015781897890705004,0.00118563374238582,0.00048527174920776344,0.001308611825609525,0.00025079565891034035,0.0016673504566265542
CAT,0.0009816877709967625,0.0005274278308367397,0.001171020467359343,0.0005298847577707631,0.0004717503754525571,0.001604642504868618,0.0019725067755023704,0.0011732976264984644,0.0006702351059835737,0.0004844718235440714,0.0015017089752470973,0.001177879181872725,0.0007647358001795466,0.0010063981748617888,0.0007563568147376597,0.000855382843720638,0.00034907156299478594,0.0011160423346725644,0.0005100288324055674,0.0003243036566305152,0.0004073993001464028,0.0007964637222481555,0.0002950806742587543,0.0007613481753475333,0.0008053126166670997,0.0004973241627474836,0.0003700447583586682,0.0006227095305293831,0.00036570848890010135,0.0008068876900286004
CVX,0.0006760922027528144,0.00022053474015557752,0.0011961186053774876,0.0004896226397462822,0.0004379220682158269,0.001689221844397368,0.0011732976264984644,0.0019138450108451832,0.00056139037600868,0.0006180892913047842,0.0011695949137672129,0.0010886995718083815,0.0007154663010131051,0.0009369469310772263,0.000665275847094717,0.0006405505417842229,0.0004502427665717645,0.000978546402450159,0.0004972384651748974,0.0003989017308100697,0.00039637213479815157,0.000658560104070253,0.0003068281217759246,0.0004364680073943063,0.0008396710389379028,0.0008118049161398616,0.0004171272143402439,0.0006202289515743643,0.00023301532367502067,0.0007800136568187609
CSCO,0.0005587634953274597,0.0005643200231252001,0.0007829222688873591,0.0004304975118372436,0.0005962712807811842,0.0009523583988628405,0.0006702351059835737,0.00056139037600868,0.0011621143581032635,0.0004362686981143919,0.0006144789824876381,0.0007337195668664291,0.0006189418194544878,0.0006209745728860384,0.0006366566611923468,0.0007152570361611252,0.0003832841802760609,0.0006261337706180705,0.0003921824859227288,0.00025700370264045917,0.0005494637583825414,0.000620148039933447,0.00038635838147685857,0.0006135639146011834,0.000503130921201943,0.000531322005330262,0.0002968230850241824,0.0006032724366285065,0.00046199226563521287,0.0005813048366538735
KO,0.0005713516326985897,0.00021347457996931824,0.0008565166399513703,0.0004040922284880237,0.00047016681208019877,0.001213591876860637,0.0004844718235440714,0.0006180892913047842,0.0004362686981143919,0.0008714098014313401,0.0006012280374842481,0.0006844301535178342,0.0005945348016622035,0.000734369558325688,0.0005293890170293534,0.0004730857569551375,0.0004020348854898981,0.0006325350856363266,0.0005687222850744917,0.00036231922323372545,0.0004122525606436111,0.0005916685906113615,0.0004938731327686659,0.0004204901270027585,0.00067767145292103,0.0006334195884311589,0.0003756847429121055,0.0005698140728147293,0.0003084815994190901,0.0005847528136426218
